Description,Code,Median,Mean
      All employees,,25971,31447
"Managers, directors and senior officials",1,43763,59286
  Corporate managers and directors,11,46496,62040
    Chief executives and senior officials,111,83944,127598
      Chief executives and senior officials,1115,90242,137745
      Elected officers and representatives,1116,x,x
    Production managers and directors,112,45000,55715
      Production managers and directors in manufacturing,1121,45250,57170
      Production managers and directors in construction,1122,44169,50155
      Production managers and directors in mining and energy,1123,45162,58556
    Functional managers and directors,113,63074,76085
      Financial managers and directors,1131,72131,83521
      Marketing and sales directors,1132,73853,82723
      Purchasing managers and directors,1133,48269,52492
      Advertising and public relations directors,1134,x,x
      Human resource managers and directors,1135,48844,56134
      Information technology and telecommunications directors,1136,x,63735
      Functional managers and directors n.e.c.,1139,60241,62670
    Financial institution managers and directors,115,x,74997
      Financial institution managers and directors,1150,x,74997
    Managers and directors in transport and logistics,116,33423,37685
      Managers and directors in transport and distribution,1161,39156,42817
      Managers and directors in storage and warehousing,1162,31584,34405
    Senior officers in protective services,117,56599,57540
      Officers in armed forces,1171,,
      Senior police officers,1172,58993,63005
"      Senior officers in fire, ambulance, prison and related services",1173,45447,46831
    Health and social services managers and directors,118,48614,54452
      Health services and public health managers and directors,1181,55751,59375
      Social services managers and directors,1184,x,38035
    Managers and directors in retail and wholesale,119,30527,36920
      Managers and directors in retail and wholesale,1190,30527,36920
  Other managers and proprietors,12,31804,41677
    Managers and proprietors in agriculture related services,121,32238,33841
      Managers and proprietors in agriculture and horticulture,1211,33090,34992
"      Managers and proprietors in forestry, fishing and related services",1213,26943,29994
    Managers and proprietors in hospitality and leisure services,122,27301,31966
      Hotel and accommodation managers and proprietors,1221,24941,35139
      Restaurant and catering establishment managers and proprietors,1223,23348,24387
      Publicans and managers of licensed premises,1224,26301,29725
      Leisure and sports managers,1225,32223,40404
      Travel agency managers and proprietors,1226,,
    Managers and proprietors in health and care services,124,35784,35666
      Health care practice managers,1241,x,38430
"      Residential, day and domiciliary  care managers and proprietors",1242,33461,34993
    Managers and proprietors in other services,125,35565,47287
"      Property, housing and estate managers",1251,38380,49537
      Garage managers and proprietors,1252,33071,x
      Hairdressing and beauty salon managers and proprietors,1253,24000,24137
      Shopkeepers and proprietors – wholesale and retail,1254,x,x
      Waste disposal and environmental services managers,1255,45597,x
      Managers and proprietors in other services n.e.c.,1259,30517,37716
Professional occupations,2,42529,47443
"  Science, research, engineering and technology professionals",21,43461,47781
    Natural and social science professionals,211,38318,44332
      Chemical scientists,2111,x,x
      Biological scientists and biochemists,2112,39128,45472
      Physical scientists,2113,40012,40473
      Social and humanities scientists,2114,31987,33710
      Natural and social science professionals n.e.c.,2119,38353,40976
    Engineering professionals,212,42655,44801
      Civil engineers,2121,42260,47514
      Mechanical engineers,2122,40413,44059
      Electrical engineers,2123,51079,53709
      Electronics engineers,2124,48338,48178
      Design and development engineers,2126,40734,43168
      Production and process engineers,2127,39932,41317
      Engineering professionals n.e.c.,2129,43250,44230
    Information technology and telecommunications professionals,213,45000,49887
      IT specialist managers,2133,48940,55380
      IT project and programme managers,2134,48446,61364
"      IT business analysts, architects and systems designers",2135,49957,54124
      Programmers and software development professionals,2136,43423,47722
      Web design and development professionals,2137,32483,31996
      Information technology and telecommunications professionals n.e.c.,2139,41423,45852
    Conservation and environment professionals,214,33133,37238
      Conservation professionals,2141,32055,32980
      Environment professionals,2142,36918,39809
    Research and development managers ,215,49439,54715
      Research and development managers,2150,49439,54715
  Health professionals,22,41064,48330
    Health professionals,221,50424,61471
      Medical practitioners,2211,64078,73608
      Psychologists,2212,40989,46213
      Pharmacists,2213,45904,44763
      Ophthalmic opticians,2214,x,33382
      Dental practitioners,2215,x,x
      Veterinarians,2216,36090,36145
      Medical radiographers,2217,41554,40506
      Podiatrists,2218,x,x
      Health professionals n.e.c.,2219,37957,37408
    Therapy professionals,222,33519,35311
      Physiotherapists,2221,33393,36139
      Occupational therapists,2222,35478,35749
      Speech and language therapists,2223,,
      Therapy professionals n.e.c.,2229,32014,31803
    Nursing and midwifery professionals,223,35267,35148
      Nurses,2231,35753,35953
      Midwives,2232,x,x
  Teaching and educational professionals,23,41140,42080
    Teaching and educational professionals,231,41140,42080
      Higher education teaching professionals,2311,49553,52221
      Further education teaching professionals,2312,35053,33647
      Secondary education teaching professionals,2314,41978,41704
      Primary and nursery education teaching professionals,2315,37779,37343
      Special needs education teaching professionals,2316,x,28446
      Senior professionals of educational establishments,2317,63738,67261
      Education advisers and school inspectors,2318,x,39248
      Teaching and other educational professionals n.e.c.,2319,x,24234
"  Business, media and public service professionals",24,43026,50423
    Legal professionals,241,52346,73234
      Barristers and judges,2412,37786,36122
      Solicitors,2413,44934,58629
      Legal professionals n.e.c.,2419,77386,99760
"    Business, research and administrative professionals",242,46030,51812
      Chartered and certified accountants,2421,41045,44673
      Management consultants and business analysts,2423,42683,46985
      Business and financial project management professionals,2424,53411,58830
"      Actuaries, economists and statisticians",2425,50452,68642
      Business and related research professionals,2426,35886,37181
"      Business, research and administrative professionals n.e.c.",2429,52699,50554
"    Architects, town planners and surveyors",243,40150,43377
      Architects,2431,43024,46709
      Town planning officers,2432,36992,35730
      Quantity surveyors,2433,46652,47595
      Chartered surveyors,2434,38004,39341
      Chartered architectural technologists,2435,x,39698
      Construction project managers and related professionals,2436,39067,44002
    Welfare professionals,244,31677,31252
      Social workers,2442,38606,37037
      Probation officers,2443,37071,34621
      Clergy,2444,23593,23970
      Welfare professionals n.e.c.,2449,26624,28651
    Librarians and related professionals,245,x,29049
      Librarians,2451,x,37242
      Archivists and curators,2452,x,x
    Quality and regulatory professionals,246,41206,55102
      Quality control and planning engineers,2461,39021,39704
      Quality assurance and regulatory professionals,2462,44988,x
      Environmental health professionals,2463,38439,39522
    Media professionals,247,35634,41555
"      Journalists, newspaper and periodical editors",2471,35195,42143
      Public relations professionals,2472,28992,34070
      Advertising accounts managers and creative directors,2473,x,44537
Associate professional and technical occupations,3,34529,42158
"  Science, engineering and technology associate professionals",31,30460,32573
"    Science, engineering and production technicians",311,30337,32388
      Laboratory technicians,3111,23562,26548
      Electrical and electronics technicians,3112,34641,34683
      Engineering technicians,3113,36809,40194
      Building and civil engineering technicians,3114,x,28630
      Quality assurance technicians,3115,27047,28989
"      Planning, process and production technicians",3116,31228,33081
"      Science, engineering and production technicians n.e.c.",3119,28319,29397
    Draughtspersons and related architectural technicians,312,30083,32013
      Architectural and town planning technicians,3121,29139,31943
      Draughtspersons,3122,30454,32037
    Information technology technicians,313,30914,32978
      IT operations technicians,3131,30876,33181
      IT user support technicians,3132,30932,32832
  Health and social care associate professionals,32,26306,28535
    Health associate professionals,321,x,x
      Paramedics,3213,x,x
      Dispensing opticians,3216,x,27612
      Pharmaceutical technicians,3217,24893,24877
      Medical and dental technicians,3218,26036,28707
      Health associate professionals n.e.c.,3219,x,23732
    Welfare and housing associate professionals,323,25423,26435
      Youth and community workers,3231,24666,23021
      Child and early years officers,3233,25914,25114
      Housing officers,3234,29821,29034
      Counsellors,3235,22664,x
      Welfare and housing associate professionals n.e.c.,3239,x,24829
  Protective service occupations,33,41029,40332
    Protective service occupations,331,41029,40332
      NCOs and other ranks,3311,,
      Police officers (sergeant and below),3312,43556,43224
      Fire service officers (watch manager and below),3313,35172,33790
      Prison service officers (below principal officer),3314,32937,32535
      Police community support officers,3315,28278,27645
      Protective service associate professionals n.e.c.,3319,35485,45842
"  Culture, media and sports occupations",34,25000,x
"    Artistic, literary and media occupations",341,29773,39886
      Artists,3411,x,34078
"      Authors, writers and translators",3412,x,43444
"      Actors, entertainers and presenters",3413,x,x
      Dancers and choreographers,3414,x,x
      Musicians,3415,x,x
"      Arts officers, producers and directors",3416,x,x
"      Photographers, audio-visual and broadcasting equipment operators",3417,25471,26237
    Design occupations,342,28393,32279
      Graphic designers,3421,27727,31225
"      Product, clothing and related designers",3422,30728,33924
    Sports and fitness occupations,344,14456,x
      Sports players,3441,x,x
"      Sports coaches, instructors and officials",3442,x,13955
      Fitness instructors,3443,x,12828
  Business and public service associate professionals,35,37919,47306
    Transport associate professionals,351,65090,71391
      Air traffic controllers,3511,,
      Aircraft pilots and flight engineers,3512,70843,80002
      Ship and hovercraft officers,3513,53330,55622
    Legal associate professionals,352,28662,35711
      Legal associate professionals,3520,28662,35711
"    Business, finance and related associate professionals",353,36858,51926
"      Estimators, valuers and assessors",3531,31520,37433
      Brokers,3532,x,85758
      Insurance underwriters,3533,43231,53398
      Finance and investment analysts and advisers,3534,37696,x
      Taxation experts,3535,49432,58489
      Importers and exporters,3536,,
      Financial and accounting technicians,3537,40732,44750
      Financial accounts managers,3538,45615,56460
      Business and related associate professionals n.e.c.,3539,32168,40377
"    Sales, marketing and related associate professionals",354,41490,49560
      Buyers and procurement officers,3541,31678,35619
      Business sales executives,3542,35151,39963
      Marketing associate professionals,3543,28596,36960
      Estate agents and auctioneers,3544,x,28875
      Sales accounts and business development managers,3545,48844,57294
      Conference and exhibition managers and organisers,3546,25833,29035
    Conservation and environmental associate professionals,355,x,24526
      Conservation and environmental associate professionals,3550,x,24526
    Public services and other associate professionals,356,33136,35031
      Public services associate professionals,3561,34900,36142
      Human resources and industrial relations officers,3562,28432,34055
      Vocational and industrial trainers and instructors,3563,31160,32500
      Careers advisers and vocational guidance specialists,3564,27256,27812
      Inspectors of standards and regulations,3565,32012,39456
      Health and safety officers,3567,36028,37263
Administrative and secretarial occupations,4,24317,27114
  Administrative occupations,41,24846,27572
    Administrative occupations: Government and related organisations,411,27371,26835
      National government administrative occupations,4112,26243,26285
      Local government administrative occupations,4113,29666,29104
      Officers of non-governmental organisations,4114,x,x
    Administrative occupations: Finance,412,23919,28124
      Credit controllers,4121,24072,27011
"      Book-keepers, payroll managers and wages clerks",4122,26132,29097
