area,area_title,area_type,naics,naics_title,i_group,own_code,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,pct_total,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-4070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",broad,"190,110",1.6,,,,16.77,"34,870",0.5,10.84,12.79,15.61,19.63,24.54,"22,550","26,600","32,470","40,830","51,040",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-4071,Foundry Mold and Coremakers,detailed,"17,590",5.2,,,,17.75,"36,920",1.4,11.73,13.93,17.11,21.27,25.27,"24,400","28,980","35,590","44,250","52,570",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"172,520",1.7,,,,16.67,"34,670",0.5,10.79,12.69,15.45,19.47,24.44,"22,450","26,400","32,130","40,490","50,840",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-4080,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",broad,"146,950",1.9,,,,18.47,"38,410",1.0,11.79,14.04,17.47,22.19,27.44,"24,520","29,200","36,330","46,150","57,080",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,"146,950",1.9,,,,18.47,"38,410",1.0,11.79,14.04,17.47,22.19,27.44,"24,520","29,200","36,330","46,150","57,080",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-4110,Tool and Die Makers,broad,"70,770",2.0,,,,26.43,"54,980",0.9,16.26,20.41,25.92,31.30,37.47,"33,820","42,460","53,920","65,110","77,940",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-4111,Tool and Die Makers,detailed,"70,770",2.0,,,,26.43,"54,980",0.9,16.26,20.41,25.92,31.30,37.47,"33,820","42,460","53,920","65,110","77,940",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-4120,"Welding, Soldering, and Brazing Workers",broad,"445,850",0.9,,,,21.54,"44,800",0.3,14.00,16.66,20.24,24.95,30.66,"29,120","34,660","42,100","51,900","63,780",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-4121,"Welders, Cutters, Solderers, and Brazers",detailed,"410,750",0.9,,,,21.73,"45,190",0.3,14.17,16.80,20.43,25.17,30.89,"29,470","34,930","42,490","52,350","64,240",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detailed,"35,110",3.1,,,,19.35,"40,240",1.1,12.93,15.16,18.42,22.84,27.60,"26,890","31,540","38,310","47,510","57,410",,
