Description,Code,Median,Mean
      All employees,,24003,29817
"Managers, directors and senior officials",1,40216,55839
  Corporate managers and directors,11,43882,60256
    Chief executives and senior officials,111,84378,127241
      Chief executives and senior officials,1115,90000,137815
      Elected officers and representatives,1116,x,x
    Production managers and directors,112,43966,55528
      Production managers and directors in manufacturing,1121,44222,56325
      Production managers and directors in construction,1122,42123,51713
      Production managers and directors in mining and energy,1123,44608,55103
    Functional managers and directors,113,56663,72524
      Financial managers and directors,1131,59870,78483
      Marketing and sales directors,1132,71619,83203
      Purchasing managers and directors,1133,46365,55407
      Advertising and public relations directors,1134,58217,63472
      Human resource managers and directors,1135,45894,53232
      Information technology and telecommunications directors,1136,71381,82915
      Functional managers and directors n.e.c.,1139,47141,62336
    Financial institution managers and directors,115,46620,77603
      Financial institution managers and directors,1150,46620,77603
    Managers and directors in transport and logistics,116,31914,36283
      Managers and directors in transport and distribution,1161,38638,44741
      Managers and directors in storage and warehousing,1162,29035,31896
    Senior officers in protective services,117,56059,55754
      Officers in armed forces,1171,,
      Senior police officers,1172,59652,60960
"      Senior officers in fire, ambulance, prison and related services",1173,45020,47553
    Health and social services managers and directors,118,43424,47048
      Health services and public health managers and directors,1181,45531,49206
      Social services managers and directors,1184,x,41469
    Managers and directors in retail and wholesale,119,26893,31877
      Managers and directors in retail and wholesale,1190,26893,31877
  Other managers and proprietors,12,28324,33432
    Managers and proprietors in agriculture related services,121,27007,28153
      Managers and proprietors in agriculture and horticulture,1211,27416,28967
"      Managers and proprietors in forestry, fishing and related services",1213,x,25059
    Managers and proprietors in hospitality and leisure services,122,24235,30987
      Hotel and accommodation managers and proprietors,1221,x,x
      Restaurant and catering establishment managers and proprietors,1223,23124,24707
      Publicans and managers of licensed premises,1224,22629,25531
      Leisure and sports managers,1225,28638,x
      Travel agency managers and proprietors,1226,x,x
    Managers and proprietors in health and care services,124,30152,31566
      Health care practice managers,1241,27692,29417
"      Residential, day and domiciliary  care managers and proprietors",1242,30659,32300
    Managers and proprietors in other services,125,30093,35694
"      Property, housing and estate managers",1251,34448,37658
      Garage managers and proprietors,1252,40165,44226
      Hairdressing and beauty salon managers and proprietors,1253,20521,19985
      Shopkeepers and proprietors – wholesale and retail,1254,24323,x
      Waste disposal and environmental services managers,1255,x,47124
      Managers and proprietors in other services n.e.c.,1259,26289,33193
Professional occupations,2,35500,39243
"  Science, research, engineering and technology professionals",21,40787,45142
    Natural and social science professionals,211,35847,39835
      Chemical scientists,2111,33255,38268
      Biological scientists and biochemists,2112,34605,38491
      Physical scientists,2113,39960,45034
      Social and humanities scientists,2114,31792,33842
      Natural and social science professionals n.e.c.,2119,37196,41812
    Engineering professionals,212,41186,44087
      Civil engineers,2121,40685,41969
      Mechanical engineers,2122,40189,49802
      Electrical engineers,2123,48434,51622
      Electronics engineers,2124,38171,41717
      Design and development engineers,2126,40231,42073
      Production and process engineers,2127,39130,40507
      Engineering professionals n.e.c.,2129,41760,44632
    Information technology and telecommunications professionals,213,42243,47200
      IT specialist managers,2133,45534,50875
      IT project and programme managers,2134,47520,52437
"      IT business analysts, architects and systems designers",2135,47531,51648
      Programmers and software development professionals,2136,40668,44931
      Web design and development professionals,2137,31017,32739
      Information technology and telecommunications professionals n.e.c.,2139,39676,46318
    Conservation and environment professionals,214,31553,34013
      Conservation professionals,2141,30647,32155
      Environment professionals,2142,31564,34540
    Research and development managers ,215,44805,49963
      Research and development managers,2150,44805,49963
  Health professionals,22,30331,35437
    Health professionals,221,43484,55188
      Medical practitioners,2211,63265,71947
      Psychologists,2212,35911,37029
      Pharmacists,2213,37462,37442
      Ophthalmic opticians,2214,x,29036
      Dental practitioners,2215,x,x
      Veterinarians,2216,35303,35107
      Medical radiographers,2217,32809,32392
      Podiatrists,2218,26043,26390
      Health professionals n.e.c.,2219,28718,31277
    Therapy professionals,222,27529,28052
      Physiotherapists,2221,28627,28777
      Occupational therapists,2222,26031,26733
      Speech and language therapists,2223,25067,25969
      Therapy professionals n.e.c.,2229,28196,29873
    Nursing and midwifery professionals,223,28207,27916
      Nurses,2231,28164,27828
      Midwives,2232,29191,29277
  Teaching and educational professionals,23,34518,34247
    Teaching and educational professionals,231,34518,34247
      Higher education teaching professionals,2311,45412,44794
      Further education teaching professionals,2312,31719,30151
      Secondary education teaching professionals,2314,36210,34747
      Primary and nursery education teaching professionals,2315,31641,30412
      Special needs education teaching professionals,2316,28807,28908
      Senior professionals of educational establishments,2317,52637,53028
      Education advisers and school inspectors,2318,35153,35340
      Teaching and other educational professionals n.e.c.,2319,17284,18784
"  Business, media and public service professionals",24,37000,43033
    Legal professionals,241,45958,57464
      Barristers and judges,2412,34777,38817
      Solicitors,2413,41066,48501
      Legal professionals n.e.c.,2419,66908,78301
"    Business, research and administrative professionals",242,39661,45464
      Chartered and certified accountants,2421,35035,40349
      Management consultants and business analysts,2423,38724,44142
      Business and financial project management professionals,2424,46567,52033
"      Actuaries, economists and statisticians",2425,45893,59369
      Business and related research professionals,2426,33178,33607
"      Business, research and administrative professionals n.e.c.",2429,37304,40167
"    Architects, town planners and surveyors",243,37335,41479
      Architects,2431,37522,42838
      Town planning officers,2432,34192,36556
      Quantity surveyors,2433,41991,44682
      Chartered surveyors,2434,36208,40018
      Chartered architectural technologists,2435,x,37328
      Construction project managers and related professionals,2436,35829,40258
    Welfare professionals,244,29066,29043
      Social workers,2442,32259,31341
      Probation officers,2443,30822,29047
      Clergy,2444,25014,23600
      Welfare professionals n.e.c.,2449,29053,28532
    Librarians and related professionals,245,23670,24605
      Librarians,2451,22043,25409
      Archivists and curators,2452,25375,23643
    Quality and regulatory professionals,246,39196,43286
      Quality control and planning engineers,2461,37731,37929
      Quality assurance and regulatory professionals,2462,41374,47036
      Environmental health professionals,2463,35805,34949
    Media professionals,247,33344,38696
"      Journalists, newspaper and periodical editors",2471,34881,38185
      Public relations professionals,2472,30776,35686
      Advertising accounts managers and creative directors,2473,36067,43424
Associate professional and technical occupations,3,30333,35767
"  Science, engineering and technology associate professionals",31,28363,30245
"    Science, engineering and production technicians",311,26994,29013
