AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-1010,"First-Line Supervisors of Mechanics, Installers, and Repairers",broad,"475,000",0.5,,,,35.14,"73,100",0.2,20.40,26.06,33.77,42.81,52.62,"42,440","54,210","70,240","89,040","109,440",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,"475,000",0.5,,,,35.14,"73,100",0.2,20.40,26.06,33.77,42.81,52.62,"42,440","54,210","70,240","89,040","109,440",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",minor,"526,000",1.1,,,,27.60,"57,400",0.4,15.24,19.52,26.59,34.62,42.00,"31,700","40,610","55,300","72,010","87,360",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-2010,"Computer, Automated Teller, and Office Machine Repairers",broad,"91,930",2.3,,,,21.05,"43,790",0.6,13.05,15.74,19.76,25.11,31.07,"27,140","32,730","41,090","52,230","64,630",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-2011,"Computer, Automated Teller, and Office Machine Repairers",detailed,"91,930",2.3,,,,21.05,"43,790",0.6,13.05,15.74,19.76,25.11,31.07,"27,140","32,730","41,090","52,230","64,630",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-2020,Radio and Telecommunications Equipment Installers and Repairers,broad,"203,730",2.2,,,,29.76,"61,900",0.8,16.58,22.15,29.45,37.15,43.92,"34,490","46,070","61,250","77,270","91,360",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",detailed,"13,210",6.8,,,,29.23,"60,790",2.3,15.60,20.18,27.75,37.92,47.01,"32,450","41,980","57,720","78,870","97,780",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",detailed,"190,510",2.3,,,,29.80,"61,980",0.8,16.68,22.28,29.55,37.12,43.60,"34,690","46,350","61,470","77,210","90,680",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-2090,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",broad,"230,350",1.6,,,,28.29,"58,850",0.5,15.97,20.21,27.29,35.05,43.47,"33,220","42,040","56,750","72,900","90,410",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-2091,Avionics Technicians,detailed,"21,390",6.7,,,,33.26,"69,180",1.7,20.03,26.50,32.61,40.33,48.41,"41,660","55,120","67,840","83,880","100,680",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-2092,"Electric Motor, Power Tool, and Related Repairers",detailed,"15,380",6.2,,,,23.68,"49,250",1.9,13.86,17.52,22.40,28.74,36.02,"28,830","36,440","46,590","59,790","74,910",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",detailed,"10,390",6.2,,,,33.87,"70,440",1.6,20.87,26.85,33.75,39.80,48.61,"43,410","55,850","70,200","82,790","101,110",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed,"55,200",3.0,,,,30.46,"63,350",0.6,18.83,24.05,29.81,36.12,42.29,"39,160","50,030","62,010","75,130","87,970",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detailed,"23,070",3.2,,,,39.98,"83,150",0.8,26.29,33.09,41.03,47.78,52.94,"54,680","68,820","85,340","99,390","110,110",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",detailed,"10,230",10.4,,,,19.83,"41,250",2.4,12.92,15.81,19.02,23.44,27.67,"26,860","32,880","39,570","48,750","57,550",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-2097,Audiovisual Equipment Installers and Repairers,detailed,"25,760",5.6,,,,21.57,"44,850",1.6,12.81,16.23,19.93,26.18,31.79,"26,640","33,760","41,460","54,450","66,120",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-2098,Security and Fire Alarm Systems Installers,detailed,"68,920",2.8,,,,25.07,"52,150",0.7,15.52,18.87,24.49,30.31,36.87,"32,280","39,240","50,940","63,050","76,690",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",minor,"1,553,160",0.5,,,,23.76,"49,420",0.3,13.02,16.60,22.37,29.38,37.15,"27,070","34,520","46,530","61,120","77,280",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3010,Aircraft Mechanics and Service Technicians,broad,"128,300",1.9,,,,33.19,"69,040",0.9,18.74,24.89,31.94,41.06,49.94,"38,970","51,760","66,440","85,400","103,880",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3011,Aircraft Mechanics and Service Technicians,detailed,"128,300",1.9,,,,33.19,"69,040",0.9,18.74,24.89,31.94,41.06,49.94,"38,970","51,760","66,440","85,400","103,880",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3020,Automotive Technicians and Repairers,broad,"775,710",0.6,,,,22.63,"47,060",0.3,12.57,15.87,21.19,28.01,34.90,"26,150","33,020","44,080","58,250","72,590",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3021,Automotive Body and Related Repairers,detailed,"137,120",1.4,,,,23.77,"49,430",0.7,13.51,16.91,21.80,28.63,37.12,"28,090","35,170","45,350","59,560","77,210",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3022,Automotive Glass Installers and Repairers,detailed,"18,490",6.5,,,,19.07,"39,660",1.8,12.80,14.73,18.13,22.63,27.29,"26,610","30,640","37,710","47,070","56,760",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3023,Automotive Service Technicians and Mechanics,detailed,"620,110",0.8,,,,22.48,"46,760",0.3,12.40,15.66,21.18,28.04,34.59,"25,790","32,570","44,050","58,330","71,940",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3030,Bus and Truck Mechanics and Diesel Engine Specialists,broad,"253,010",1.1,,,,25.04,"52,090",0.4,15.78,19.32,24.13,29.95,36.76,"32,820","40,180","50,200","62,290","76,460",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,detailed,"253,010",1.1,,,,25.04,"52,090",0.4,15.78,19.32,24.13,29.95,36.76,"32,820","40,180","50,200","62,290","76,460",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,broad,"205,720",1.3,,,,26.50,"55,110",0.4,16.47,20.45,25.66,31.35,38.37,"34,260","42,540","53,370","65,210","79,810",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3041,Farm Equipment Mechanics and Service Technicians,detailed,"35,720",2.3,,,,21.81,"45,350",0.7,13.78,16.83,21.09,25.99,30.88,"28,670","35,000","43,880","54,050","64,220",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detailed,"147,680",1.5,,,,27.40,"57,000",0.5,17.43,21.45,26.61,31.87,38.94,"36,250","44,610","55,350","66,290","81,000",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3043,Rail Car Repairers,detailed,"22,310",5.4,,,,28.01,"58,250",2.0,16.88,21.23,27.74,35.18,39.79,"35,110","44,160","57,710","73,170","82,760",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3050,Small Engine Mechanics,broad,"65,430",2.2,,,,19.88,"41,360",0.6,12.27,14.91,18.76,24.08,29.76,"25,510","31,010","39,020","50,080","61,910",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3051,Motorboat Mechanics and Service Technicians,detailed,"20,440",4.5,,,,21.87,"45,490",1.2,13.03,16.08,20.83,26.70,31.84,"27,110","33,450","43,320","55,540","66,230",,
