AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,37-3013,Tree Trimmers and Pruners,detailed,"41,920",5.8,,,,,22.81,"47,450",1.2,14.51,18.32,22.58,27.96,30.87,"30,180","38,110","46,970","58,160","64,210",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,37-3019,"Grounds Maintenance Workers, All Other",detailed,"15,770",7.7,,,,,18.81,"39,120",1.6,13.33,14.50,17.57,22.02,29.24,"27,720","30,150","36,540","45,810","60,820",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-0000,Personal Care and Service Occupations,major,"2,566,440",0.6,,,,,16.17,"33,620",0.5,9.52,11.33,14.16,18.05,23.76,"19,810","23,560","29,450","37,540","49,410",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-1000,Supervisors of Personal Care and Service Workers,minor,"187,400",1.0,,,,,22.57,"46,950",0.6,13.86,16.50,21.67,28.04,35.02,"28,820","34,330","45,070","58,330","72,840",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-1010,First-Line Supervisors of Entertainment and Recreation Workers,broad,"86,370",1.5,,,,,23.25,"48,370",0.6,13.86,16.96,22.62,29.04,36.39,"28,830","35,270","47,040","60,400","75,680",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-1013,First-Line Supervisors of Gambling Services Workers,detailed,"19,510",2.3,,,,,25.28,"52,590",0.8,14.39,18.73,23.63,29.63,36.39,"29,920","38,960","49,140","61,640","75,680",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",detailed,"66,860",1.9,,,,,22.66,"47,130",0.6,13.71,15.17,21.57,28.20,36.35,"28,520","31,560","44,870","58,650","75,610",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-1020,First-Line Supervisors of Personal Service Workers,broad,"101,030",1.5,,,,,21.99,"45,730",0.9,13.80,16.21,19.42,24.45,31.51,"28,700","33,710","40,390","50,860","65,540",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-1022,First-Line Supervisors of Personal Service Workers,detailed,"101,030",1.5,,,,,21.99,"45,730",0.9,13.80,16.21,19.42,24.45,31.51,"28,700","33,710","40,390","50,860","65,540",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-2000,Animal Care and Service Workers,minor,"241,520",1.3,,,,,14.47,"30,100",0.5,10.33,11.18,13.81,16.01,20.10,"21,480","23,260","28,730","33,300","41,820",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-2010,Animal Trainers,broad,"15,840",3.4,,,,,18.38,"38,230",2.8,11.13,13.51,15.04,21.46,28.26,"23,160","28,110","31,280","44,630","58,790",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-2011,Animal Trainers,detailed,"15,840",3.4,,,,,18.38,"38,230",2.8,11.13,13.51,15.04,21.46,28.26,"23,160","28,110","31,280","44,630","58,790",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-2020,Animal Caretakers,broad,"225,680",1.4,,,,,14.19,"29,520",0.5,10.28,11.13,13.75,14.96,18.63,"21,380","23,160","28,600","31,130","38,750",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-2021,Animal Caretakers,detailed,"225,680",1.4,,,,,14.19,"29,520",0.5,10.28,11.13,13.75,14.96,18.63,"21,380","23,160","28,600","31,130","38,750",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-3000,Entertainment Attendants and Related Workers,minor,"418,960",1.5,,,,,13.06,"27,170",0.6,8.66,10.30,12.00,14.31,17.74,"18,010","21,420","24,960","29,760","36,890",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-3010,Gambling Services Workers,broad,"82,860",1.7,,,,,14.11,"29,340",1.3,8.62,9.10,12.32,14.58,22.53,"17,930","18,930","25,630","30,320","46,860",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-3011,Gambling Dealers,detailed,"64,700",1.7,,,,,13.92,"28,960",1.6,8.53,8.94,12.00,14.42,22.98,"17,740","18,600","24,960","29,990","47,810",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-3012,Gambling and Sports Book Writers and Runners,detailed,"7,340",5.8,,,,,14.00,"29,110",2.3,9.25,11.02,13.24,15.88,18.45,"19,230","22,910","27,530","33,020","38,380",,
