Description,Code,Median,Mean
      All employees,,24937,30673
"Managers, directors and senior officials",1,40832,56430
  Corporate managers and directors,11,44406,60638
    Chief executives and senior officials,111,85588,133665
      Chief executives and senior officials,1115,91646,142199
      Elected officers and representatives,1116,x,x
    Production managers and directors,112,44027,55628
      Production managers and directors in manufacturing,1121,43480,55806
      Production managers and directors in construction,1122,45859,54599
      Production managers and directors in mining and energy,1123,44900,55491
    Functional managers and directors,113,57780,73308
      Financial managers and directors,1131,60502,79102
      Marketing and sales directors,1132,75332,88257
      Purchasing managers and directors,1133,48344,56149
      Advertising and public relations directors,1134,57986,65310
      Human resource managers and directors,1135,45377,53113
      Information technology and telecommunications directors,1136,66862,76442
      Functional managers and directors n.e.c.,1139,48427,59702
    Financial institution managers and directors,115,46763,68475
      Financial institution managers and directors,1150,46763,68475
    Managers and directors in transport and logistics,116,32788,36799
      Managers and directors in transport and distribution,1161,38983,44524
      Managers and directors in storage and warehousing,1162,29446,32366
    Senior officers in protective services,117,51993,52753
      Officers in armed forces,1171,,
      Senior police officers,1172,58772,59092
"      Senior officers in fire, ambulance, prison and related services",1173,44159,46468
    Health and social services managers and directors,118,44467,47220
      Health services and public health managers and directors,1181,48034,49932
      Social services managers and directors,1184,36400,40254
    Managers and directors in retail and wholesale,119,27129,33211
      Managers and directors in retail and wholesale,1190,27129,33211
  Other managers and proprietors,12,29777,34095
    Managers and proprietors in agriculture related services,121,30257,30492
      Managers and proprietors in agriculture and horticulture,1211,30855,30985
"      Managers and proprietors in forestry, fishing and related services",1213,29202,28545
    Managers and proprietors in hospitality and leisure services,122,25699,30082
      Hotel and accommodation managers and proprietors,1221,30346,34148
      Restaurant and catering establishment managers and proprietors,1223,23821,26551
      Publicans and managers of licensed premises,1224,x,27528
      Leisure and sports managers,1225,29948,33057
      Travel agency managers and proprietors,1226,x,33690
    Managers and proprietors in health and care services,124,31070,32510
      Health care practice managers,1241,28942,31819
"      Residential, day and domiciliary  care managers and proprietors",1242,31711,32731
    Managers and proprietors in other services,125,30987,36946
"      Property, housing and estate managers",1251,32073,37445
      Garage managers and proprietors,1252,x,46776
      Hairdressing and beauty salon managers and proprietors,1253,22210,22676
      Shopkeepers and proprietors – wholesale and retail,1254,25203,x
      Waste disposal and environmental services managers,1255,x,49974
      Managers and proprietors in other services n.e.c.,1259,29446,35654
Professional occupations,2,36175,39580
"  Science, research, engineering and technology professionals",21,41896,44905
    Natural and social science professionals,211,36402,38319
      Chemical scientists,2111,31253,35773
      Biological scientists and biochemists,2112,35373,38010
      Physical scientists,2113,42983,45464
      Social and humanities scientists,2114,32019,31607
      Natural and social science professionals n.e.c.,2119,37384,38522
    Engineering professionals,212,41790,43385
      Civil engineers,2121,40266,42544
      Mechanical engineers,2122,39613,46593
      Electrical engineers,2123,49168,50468
      Electronics engineers,2124,44322,46344
      Design and development engineers,2126,41002,41944
      Production and process engineers,2127,40453,41157
      Engineering professionals n.e.c.,2129,42186,43379
    Information technology and telecommunications professionals,213,43629,47379
      IT specialist managers,2133,47394,51687
      IT project and programme managers,2134,47639,53249
"      IT business analysts, architects and systems designers",2135,47468,51502
      Programmers and software development professionals,2136,42327,46012
      Web design and development professionals,2137,31174,33442
      Information technology and telecommunications professionals n.e.c.,2139,39505,43188
    Conservation and environment professionals,214,33865,35498
      Conservation professionals,2141,31161,32489
      Environment professionals,2142,34411,36475
    Research and development managers ,215,45534,48559
      Research and development managers,2150,45534,48559
  Health professionals,22,30580,35140
    Health professionals,221,42276,53732
      Medical practitioners,2211,60673,70653
      Psychologists,2212,33742,38139
      Pharmacists,2213,36700,36214
      Ophthalmic opticians,2214,x,34848
      Dental practitioners,2215,x,57132
      Veterinarians,2216,35820,35253
      Medical radiographers,2217,35209,33701
      Podiatrists,2218,27655,29696
